PID,startdate,enddate,duration,week,noise,model_included,peak_time,peak_intensity,factors__current_season,factors__past_season,factors__past_season2,factors__model,survey_summary_from_participant
1894,2023-02-04 14:09:05,2023-02-04 14:10:28,82,3,10.0,1,59.0,115.0,1,0,0,0,Whether someone can accurately make a prediction using available data and predictive data.
2995,2023-02-04 14:06:12,2023-02-04 14:10:28,255,2,2.5,1,80.0,800.0,1,0,0,1,I think the goal of this study is to gather data on what an average individual predicts based on existing trends.
2643,2023-02-04 14:03:43,2023-02-04 14:10:45,421,1,5.0,1,126.0,2100.0,0,0,1,0,To determine when an infectious disease will spread the most rapidly and cause the most hospitalizations.
964,2023-02-04 14:07:11,2023-02-04 14:11:02,231,1,2.5,1,20.0,5.0,1,1,0,0,To determine the data based on their hospitalization
2727,2023-02-04 14:05:15,2023-02-04 14:11:03,348,4,5.0,0,98.0,800.0,1,1,1,0,to estimate the peak day and number of hospitalization of a fictitious epidemic in a current season using data from the last two seasons.
3067,2023-02-04 14:08:54,2023-02-04 14:11:20,145,4,10.0,0,122.0,1000.0,1,1,1,0,Determine trends in previous data and extrapolating to current trends by visual analysis
944,2023-02-04 14:01:58,2023-02-04 14:11:41,582,-2,2.5,1,89.0,1679.0,0,0,1,0,The goal of the study was to estimate the peak day of hospitalizations for a disease and how many hospitalizations occured on this day.
1756,2023-02-04 14:09:15,2023-02-04 14:11:43,148,4,5.0,0,168.0,300.0,1,1,1,0,"The goal of this study was to predict the day of peak hospitalizations for an infectious agent, and how many hospitalizations would be occurring on that day. "
4903,2023-02-04 14:06:47,2023-02-04 14:12:38,350,4,10.0,0,98.0,240.0,1,1,1,0,To try and guess how long it will take to reach the peak day for hospitalizations. As well as how many patients were affected on the peak day. 
193,2023-02-04 14:08:45,2023-02-04 14:12:45,239,2,10.0,0,68.0,1200.0,1,1,1,0,To find out what people think the peak of the epidemic would be and how many hospitalizations there would be on that day.
5266,2023-02-04 14:08:32,2023-02-04 14:12:46,253,2,2.5,1,80.0,300.0,1,0,0,1,Two predict the days and numbers of hospitalization at the peak.
2012,2023-02-04 14:08:38,2023-02-04 14:12:52,254,1,10.0,1,110.0,1474.0,1,1,1,0,To get the estimated midpoint and hospitalizations based on the table data provided.
4515,2023-02-04 14:09:58,2023-02-04 14:13:07,189,-2,5.0,0,89.0,1338.0,0,0,1,0,"To estimate the peak of the epidemic, that is the day with the highest number of hospitalizations"
1791,2023-02-04 14:11:12,2023-02-04 14:13:15,123,4,10.0,1,85.0,250.0,1,0,0,1,How looking at outlier data can impact a prediction
5227,2023-02-04 14:09:13,2023-02-04 14:13:16,242,3,10.0,0,56.0,150.0,1,0,0,0,To see how people interpeted graphs and predicted data?
5284,2023-02-04 14:09:17,2023-02-04 14:13:40,263,1,2.5,0,96.0,1100.0,1,1,1,0,Understanding of how to read a graph? 
4371,2023-02-04 14:06:09,2023-02-04 14:14:09,479,2,2.5,0,681.0,171.0,1,1,1,0,The goal of this study was to evaluate how people read and estimate data.
2593,2023-02-04 14:12:00,2023-02-04 14:14:27,146,2,2.5,0,84.0,600.0,1,1,1,0,You are trying to engage inferences made from a presented simulation
4949,2023-02-04 14:09:44,2023-02-04 14:14:30,286,1,5.0,0,53.0,63.0,0,0,1,0,to see where i would see the trends of a covid graph
1519,2023-02-04 14:06:37,2023-02-04 14:14:30,472,4,5.0,1,96.0,100.0,0,0,0,1,To determine by what day the peak of cases and hospitalization or a fictional potential epidemic
3812,2023-02-04 14:09:10,2023-02-04 14:14:51,341,1,10.0,0,79.0,729.0,1,0,0,0,
3976,2023-02-04 14:08:20,2023-02-04 14:14:57,397,1,5.0,1,90.0,1500.0,1,1,1,0,Predict the peak number of hospitalizations from the infectious agent during the outbreak and the number of days from the beginning of the outbreak to the peak. 
4666,2023-02-04 14:11:55,2023-02-04 14:15:20,205,2,10.0,1,85.0,1800.0,1,1,1,1,The goal was to have participants predict the date and number of hospitalizations given previous data and models.
297,2023-02-04 14:11:27,2023-02-04 14:15:24,237,2,2.5,0,20.0,76.0,1,0,1,0,"To determine the next peak in incident hospitalizations, as well as the number of hospitalizations, based off data from a graph."
1940,2023-02-04 14:02:49,2023-02-04 14:15:26,756,4,10.0,1,81.0,915.0,1,1,1,0,This study is to determine the capability of people in estimating when a contagion might peak and how many infections may occur at the peak.
2827,2023-02-04 14:08:52,2023-02-04 14:15:42,409,2,5.0,1,98.0,1200.0,1,0,0,0,To use previous trends and data to estimate the life of a new pandemic. To see how well people interpret and/or understand data presented this way.  
1490,2023-02-04 14:12:05,2023-02-04 14:15:51,225,2,10.0,1,100.0,900.0,1,1,1,1,The goal of this study was to analyze data from a graph. I think you're trying to understand how people interpret this data.
5428,2023-02-04 14:09:38,2023-02-04 14:15:54,375,4,5.0,1,87.0,1500.0,0,0,0,1,To gather predictions from the public and see how differently they interpret the data.
3751,2023-02-04 14:14:07,2023-02-04 14:16:04,116,2,5.0,0,72.0,300.0,1,1,1,0,Predicting the day of the peak of the epidemic cases and also the max amount that will occur
707,2023-02-04 14:04:54,2023-02-04 14:16:15,681,1,2.5,0,154.0,1983.0,0,0,1,0,to estimate approximately the peak time of future outbreaks over the next few years using the previous data based on past seasonal events of peaks and valleys 
2958,2023-02-04 14:10:07,2023-02-04 14:16:16,368,-2,5.0,1,89.0,1338.0,1,0,1,1,Ability to estimate from given data points.
231,2023-02-04 14:11:11,2023-02-04 14:16:24,312,2,5.0,0,140.0,1700.0,1,1,1,0,estimate and predict future peak day of an epidemic and hospitalization rate.
3971,2023-02-04 14:10:53,2023-02-04 14:16:45,352,-2,5.0,1,180.0,2000.0,1,0,0,0,My best guess of covid hospitalizations. A guess of how long the pandemic will last.
2346,2023-02-04 14:12:45,2023-02-04 14:16:52,246,2,2.5,1,95.0,1700.0,1,1,1,1,To determine the peak days and hospitalizations of an epidemic while viewing a graph with old data
5339,2023-02-04 14:15:24,2023-02-04 14:16:55,90,4,2.5,0,57.0,1955.0,0,0,1,0,To read the graph to figure out the peak number of hospitalizations
3262,2023-02-04 14:08:39,2023-02-04 14:17:07,508,1,2.5,1,80.0,1000000.0,1,1,0,0,To determine on which day there would be the most hospitalizations.
959,2023-02-04 14:14:07,2023-02-04 14:17:08,180,4,5.0,0,73.0,100.0,1,0,0,0,The goal was to predict when this epidemic would hit its peak and how many people would be hospitalized on the peak day.
5870,2023-02-04 14:15:56,2023-02-04 14:17:34,97,1,10.0,1,100.0,50.0,1,0,0,0,To forecast when peak day was. You had to look at the scale
423,2023-02-04 14:13:11,2023-02-04 14:17:40,268,2,10.0,0,91.0,580.0,1,1,1,0,To determine how people use past data to make predictions
4252,2023-02-04 14:13:39,2023-02-04 14:17:44,244,1,5.0,0,56.0,2500.0,1,0,0,0,Decide the day and number of the hospitalization during a pendemic.
5615,2023-02-04 14:16:19,2023-02-04 14:17:59,99,1,2.5,1,210.0,2500.0,1,0,0,0,"I really couldnt tell you. Im not sure what the point of the study was, sorry."
1077,2023-02-04 14:15:55,2023-02-04 14:18:23,148,-2,2.5,1,100.0,3000.0,0,1,1,0,To see how well people handle data? 
1804,2023-02-04 14:13:00,2023-02-04 14:18:57,356,1,5.0,1,150.0,303.0,0,0,1,0,hospilzation from covid on peak days
4853,2023-02-04 14:17:34,2023-02-04 14:19:08,93,-2,10.0,1,105.0,1800.0,1,1,1,1,To predict the impact of a peak of a virus using a model system.
1458,2023-02-04 14:16:23,2023-02-04 14:19:13,169,4,10.0,0,59.0,1454.0,1,0,0,0,Finding if people are able to make sense of these graphs
4728,2023-02-04 14:16:53,2023-02-04 14:19:16,142,-2,5.0,0,90.0,1350.0,1,1,0,0,"Based on current data and data from both a year and two years ago, predict the peak of a fictional epidemic."
1599,2023-02-04 14:16:58,2023-02-04 14:19:16,138,1,2.5,0,100.0,2000.0,1,1,1,0,Understanding predictions based on historical data
5399,2023-02-04 14:17:40,2023-02-04 14:19:22,102,3,5.0,1,98.0,2300.0,0,0,0,1,Seeing how to read a graph?
3853,2023-02-04 14:15:29,2023-02-04 14:19:34,244,-2,10.0,1,75.0,1200.0,1,1,1,0,To see if data can predict outcomes
1956,2023-02-04 14:18:41,2023-02-04 14:20:12,90,2,5.0,1,110.0,1000.0,0,1,1,1,To interpret past years' data and predict the peak of hospitalizations and the day when it will occur.
2211,2023-02-04 14:17:25,2023-02-04 14:20:12,166,-2,2.5,0,96.0,1600.0,1,1,0,0,The goal was to predict when peak hospitalizations will occur during a potential epidemic.
2088,2023-02-04 14:17:10,2023-02-04 14:20:13,182,3,2.5,0,90.0,1000.0,1,1,1,0,how people predict disease spread
1967,2023-02-04 14:19:07,2023-02-04 14:20:18,70,4,10.0,0,57.0,1465.0,1,0,1,0,To determine how we use data to evaluate predictions.
2636,2023-02-04 14:14:25,2023-02-04 14:20:40,375,3,2.5,1,64.0,1955.0,0,1,1,0,"Looking at, researching data."
5894,2023-02-04 14:19:17,2023-02-04 14:20:44,87,-2,2.5,0,89.0,1670.0,1,0,0,0,to study our ability to analyze graphs
4567,2023-02-04 14:18:06,2023-02-04 14:20:54,168,3,5.0,0,59.0,173.0,1,0,1,0,To find out when the peak day would be. To also find out whether studies from 2 years ago are relative to today.
991,2023-02-04 14:19:05,2023-02-04 14:20:56,110,-2,10.0,0,120.0,350.0,1,0,1,0,Interpret data in order to locate maxima on both axes
5125,2023-02-04 14:18:42,2023-02-04 14:21:28,165,2,2.5,1,60.0,65.0,1,0,0,0,The goal of the study was to see how we took information given and made an accurate prediction based on the question.
1175,2023-02-04 14:08:16,2023-02-04 14:21:32,795,4,2.5,1,77.0,70.0,1,1,1,0,To make a prediction using true data of the peak number of the epidemic and the peak number of hopitalizations.
769,2023-02-04 14:19:42,2023-02-04 14:21:32,110,3,5.0,1,57.0,1666.0,0,0,1,0,To predict infection rates
3280,2023-02-04 14:20:04,2023-02-04 14:22:32,147,-2,2.5,1,6.0,7.0,0,1,0,0,I think the purpose of this study is to see how other people make decisions. 
5103,2023-02-04 14:18:55,2023-02-04 14:23:02,246,3,2.5,0,86.0,2350.0,1,0,1,0,To analyze how people determine there answers and what made them do so.
4032,2023-02-04 14:21:02,2023-02-04 14:23:09,126,4,5.0,1,57.0,1666.0,0,0,1,0,To test people abilities to read charts
3624,2023-02-04 14:21:59,2023-02-04 14:23:17,78,4,2.5,0,56.0,1900.0,1,1,0,0,The goal of this study was to predict trends about a fictional epidemic.
720,2023-02-04 14:19:32,2023-02-04 14:23:45,253,1,5.0,1,57.0,1666.0,0,0,1,0,I had to predict the peak days and hospitalization based on the data I was given. 
3858,2023-02-04 14:20:42,2023-02-04 14:24:07,205,4,10.0,1,125.0,700.0,0,1,1,0,How people interpret graphs and make predictions
553,2023-02-04 14:22:45,2023-02-04 14:24:19,94,1,10.0,0,60.0,115.0,1,1,1,0,Goal of this study was to predict based on prior data.
5486,2023-02-04 14:20:04,2023-02-04 14:24:23,258,1,2.5,1,90.0,1400.0,1,1,1,1,For me to estimate when a epidemic would reach its peak and how many hospitalizations would occur on peak day using data from past seasons.
644,2023-02-04 14:22:33,2023-02-04 14:24:31,118,3,10.0,0,64.0,133.0,1,0,0,0,To look at analytical data and make a prediction
4372,2023-02-04 14:19:30,2023-02-04 14:25:28,357,4,2.5,1,57.0,1955.0,1,0,0,0,To study data on hospitalizations and estimate when the expected maximum # of hospitalizations would occur.
2793,2023-02-04 14:20:34,2023-02-04 14:25:51,316,2,2.5,0,98.0,81.0,1,1,1,0,To estimate the peak day of a fictitious epidemic and the number of hospitalizations on the peak day.
3841,2023-02-04 14:22:30,2023-02-04 14:25:53,203,2,5.0,0,112.0,680.0,1,1,1,0,The goal was to show a graph of current and past hospitalizations and ask people to predict the peak for this year based on the data.
19,2023-02-04 14:23:14,2023-02-04 14:25:56,161,3,10.0,1,57.0,1465.0,0,0,1,0,
4105,2023-02-04 14:24:47,2023-02-04 14:25:59,71,1,10.0,0,57.0,1465.0,1,0,0,0,Forecasting incident hospitalizations caused by a fictitious infectious agent
3781,2023-02-04 14:23:11,2023-02-04 14:26:01,170,2,5.0,0,57.0,1666.0,1,0,0,0,The goal of this study was to look at an interactive graph of surveillance data on hospitals and pinpoint the peak day with the most hospitalizations.
4859,2023-02-04 14:20:55,2023-02-04 14:26:24,328,2,10.0,0,72.0,641.0,1,1,1,0,To make a prediction based on information given.
2575,2023-02-04 14:25:06,2023-02-04 14:26:29,82,4,5.0,1,56.0,1700.0,1,1,1,1,Unsure
1851,2023-02-04 14:22:25,2023-02-04 14:26:30,244,-2,5.0,1,92.0,1430.0,1,0,1,0,To see what people estimate to be the day of the peak and also the number of hospitilizations on the peak.
2546,2023-02-04 14:23:07,2023-02-04 14:26:39,211,2,2.5,1,90.0,1500.0,1,1,1,0,To see how data about previous seasons affects opinions about the  current one.
3625,2023-02-04 14:23:46,2023-02-04 14:26:47,180,-2,5.0,1,57.0,1666.0,1,0,1,0,study the pattern of incident hospitalizations caused by this infectious agent and then provide a prediction on what day number of incident hospitalizations will reach a maximum 
2311,2023-02-04 14:23:30,2023-02-04 14:26:53,203,4,10.0,1,98.0,1500.0,0,0,0,1,To predict using a chart
5737,2023-02-04 14:21:08,2023-02-04 14:27:13,365,4,5.0,0,68.0,660.0,1,1,1,0,To understand how people predict the spread of an epidemic both by time and number hospitalized based on data of the last two seasons.
2066,2023-02-04 14:25:11,2023-02-04 14:27:13,121,4,10.0,0,57.0,1465.0,0,0,1,0,The goal of the study was to make predictions on the peak day of cases. This was so that we could get an insight into how people interpret data such as graphs and charts.
2651,2023-02-04 14:25:00,2023-02-04 14:27:14,134,4,5.0,0,98.0,1200.0,1,1,1,0,How people interpret incomplete data.
5121,2023-02-04 14:22:55,2023-02-04 14:27:20,264,1,10.0,1,100.0,1500.0,1,0,1,0,To see how people interpret data and which data they factor in to their decisions
2410,2023-02-04 14:22:50,2023-02-04 14:27:35,284,3,10.0,0,100.0,254.0,1,1,1,0,Predict the peak of a fictitious virus and when.
4215,2023-02-04 14:08:48,2023-02-04 14:27:49,1140,3,2.5,0,95.0,1100.0,1,1,1,0,To project new data using established data. 
2045,2023-02-04 14:19:27,2023-02-04 14:27:56,508,3,2.5,1,98.0,500.0,0,1,1,1,Whether this graph was user-friendly or not...it was not.
2874,2023-02-04 14:20:13,2023-02-04 14:28:09,476,3,5.0,0,68.0,140.0,1,1,1,0,"The goal of this study was to estimate when a seasonal epidemic will peak in new daily hospitalizations, based on past seasons data and initial data from this season."
3700,2023-02-04 14:24:59,2023-02-04 14:28:23,203,-2,5.0,0,56.0,62.0,0,0,1,0,To see how we read data and information from graphs
4738,2023-02-04 14:22:06,2023-02-04 14:29:22,435,-2,5.0,0,88.0,1300.0,1,1,1,0,To see how people evaluate data 
2855,2023-02-04 14:23:26,2023-02-04 14:29:41,375,-2,10.0,1,89.0,1123.0,1,0,0,0,The goal was to see how accurate the general population can be at predicting the peak day of the spread of an infection and the number of people hospitalized on that peak day.
818,2023-02-04 14:26:41,2023-02-04 14:29:43,181,4,2.5,1,80.0,300.0,1,1,0,1,The goal of this study was the predict how many hospitalizations could be present on the peak day of this infection season.
2912,2023-02-04 14:27:27,2023-02-04 14:29:49,142,3,2.5,1,84.0,1500.0,0,1,1,0,To see if people use past data to interpret possible futuer outcomes
5459,2023-02-04 14:27:11,2023-02-04 14:29:51,160,-2,2.5,0,95.0,1400.0,1,1,1,0,To estimate when the peak time would be based on past patterns.
2444,2023-02-04 14:25:58,2023-02-04 14:30:12,254,1,2.5,0,100.0,1500.0,1,1,1,0,To make a prediction about the peak of cases and peak date based on the past two seasons and current season to date information.
4717,2023-02-04 14:28:44,2023-02-04 14:30:17,92,2,2.5,0,98.0,2000.0,1,1,1,0,Predicting the date of the peak as well as how high the peak will be.
4402,2023-02-04 14:27:01,2023-02-04 14:30:22,200,-2,10.0,0,45.0,76.0,1,1,1,1,to see if we can save the plant from white supermisty captialist pigs.
4962,2023-02-04 14:25:29,2023-02-04 14:30:40,311,1,5.0,0,74.0,724.0,1,1,1,0,"To predict which day would have the most hospitalizations due to a outbreak, and exactly how many there would be."
4863,2023-02-04 14:24:32,2023-02-04 14:30:51,379,4,2.5,0,69.0,1272.0,1,1,1,0,Predict the peak day of hospitalizations and the number of hospitalizations on that day.
